batch_idx,horizon_idx,eef_pose_0,eef_pose_1
0,0,-0.5340024828910828,0.2061898559331894
0,1,-0.5339746475219727,0.19958677887916565
1,0,-0.5410577058792114,0.028554076328873634
1,1,-0.5410470962524414,0.028576230630278587
2,0,-0.40699756145477295,0.05852236598730087
2,1,-0.4099940359592438,0.058541540056467056
3,0,-0.5462294220924377,0.33839890360832214
3,1,-0.5413498282432556,0.3437935709953308
4,0,-0.42387181520462036,0.03822925314307213
4,1,-0.4260031580924988,0.03923941031098366
5,0,-0.28823748230934143,0.2927473783493042
5,1,-0.2950601279735565,0.28861740231513977
6,0,-0.660209596157074,0.04426588490605354
6,1,-0.6579475402832031,0.045386843383312225
7,0,-0.2882780134677887,0.2893582582473755
7,1,-0.29094305634498596,0.28556138277053833
8,0,-0.8012239336967468,0.3233078420162201
8,1,-0.8071168661117554,0.32322439551353455
9,0,-0.4772111177444458,0.049350373446941376
9,1,-0.47858479619026184,0.049841344356536865
10,0,-0.6092482209205627,0.14362767338752747
10,1,-0.6067007184028625,0.15755139291286469
11,0,-0.5505992770195007,0.2784825265407562
11,1,-0.5703009963035583,0.27864736318588257
12,0,-0.5708417296409607,-0.2995373606681824
12,1,-0.5540127754211426,-0.3041309118270874
13,0,-0.5114708542823792,-0.00471730949357152
13,1,-0.5104902982711792,-0.009955400601029396
14,0,-0.5344904661178589,0.20424281060695648
14,1,-0.5344868898391724,0.20230665802955627
15,0,-0.645060122013092,0.053643129765987396
15,1,-0.6446474194526672,0.05362241342663765
16,0,-0.5805692672729492,0.2311716079711914
16,1,-0.5698578953742981,0.23523160815238953
17,0,-0.5828230977058411,-0.09936930984258652
17,1,-0.582822859287262,-0.09505119919776917
18,0,-0.29143866896629333,0.21728459000587463
18,1,-0.2921275198459625,0.20528973639011383
19,0,-0.6808763146400452,0.058438997715711594
19,1,-0.6795556545257568,0.051616933196783066
20,0,-0.2957805395126343,0.2954963743686676
20,1,-0.28923627734184265,0.2952994704246521
21,0,-0.5515713691711426,0.14832055568695068
21,1,-0.5456467270851135,0.16084307432174683
22,0,-0.31067955493927,0.3042958676815033
22,1,-0.3068988621234894,0.30049267411231995
23,0,-0.47364601492881775,0.05574566125869751
23,1,-0.47409868240356445,0.05585699528455734
